district_name,property_size,property_price,date
فيلا للبيع في شارع المرسي ، حي الحزم ، الرياض ، الرياض,250,1350000,2022-01-31
"فيلا للبيع في شارع محمد بن مسعود المكي, حي النرجس, الرياض",276,2350000,unknown
"فيلا للبيع في شارع سفيان الثقفي, الروضة, الرياض",233,1200000,unknown
فيلا للبيع في شارع احمد البغدادي ، حي اليمامة ، الرياض ، الرياض,500,1100000,unknown
فيلا للبيع في حي ، شارع عبداللطيف الحسني ، حي النسيم الغربي ، الرياض ، الرياض,625,1200000,unknown
فيلا للبيع في شارع الخزاعي ، حي طويق ، الرياض ، الرياض,400,800000,unknown
فيلا للبيع في شارع الخبرة ، حي العزيزية ، الرياض ، الرياض,375,1250000,unknown
فيلا للبيع في شارع علي بن صالح ، حي طيبة ، الرياض ، الرياض,850,820000,unknown
فيلا للبيع في شارع ابراهيم بن عبدالسلام ، حي طويق ، الرياض ، الرياض,300,1200000,unknown
فيلا للبيع في شارع ابي الربيع الكلاعي ، حي النسيم الغربي ، الرياض ، الرياض,875,2000000,2022-01-24
فيلا للبيع في حي ، شارع عبدالله بن الشاعر ، حي النسيم الغربي ، الرياض ، الرياض,500,800000,unknown
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,375,3900000,2022-01-31
فيلا للبيع في شارع ابن سليم البوصيري ، حي الربوة ، الرياض ، الرياض,450,1550000,2022-01-31
فيلا للبيع في شارع محمد صالح امام ، حي ظهرة نمار ، الرياض ، الرياض,316,1450000,2022-01-31
فيلا للبيع في شارع المنصوره ، حي نمار ، الرياض ، الرياض,200,1150000,2022-01-31
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,825,1400000,2022-01-31
فيلا للبيع في شارع قدامه بن جعفر ، حي طويق ، الرياض ، الرياض,220,1070000,2022-01-24
فيلا للبيع في الرياض ، حي الرمال ، الرياض,241,1150000,2022-01-24
فيلا للبيع في حي بدر ، الرياض ، الرياض,390,750000,unknown
فيلا للبيع في شارع عبدالرحمن الداخل ، حي طويق ، الرياض ، الرياض,300,1235000,unknown
فيلا للبيع في شارع حمزه بوقري ، حي طويق ، الرياض ، الرياض,250,1200000,2022-01-31
فيلا للبيع في شارع المرسي ، حي الحزم ، الرياض ، الرياض,250,1350000,2022-01-31
فيلا للبيع في شارع الدوحة ، حي الحمراء ، الرياض ، الرياض,1180,12000000,2022-01-31
فيلا للبيع في شارع نوفل العامري ، حي ظهرة نمار ، الرياض ، الرياض,292,1400000,unknown
فيلا للبيع في شارع أبي بكر المخزومي ، حي طويق ، الرياض ، الرياض,375,1270000,2022-01-31
فيلا للبيع في شارع محمد بن القزاز ، حي الجنادرية ، الرياض ، الرياض,240,1250000,unknown
فيلا للبيع في شارع السخاء ، حي بدر ، الرياض ، الرياض,334,1120000,unknown
فيلا للبيع في شارع البساتين ، حي الملك عبدالله ، الرياض ، الرياض,2446,16000000,unknown
فيلا للبيع في شارع العوينات ، حي طويق ، الرياض ، الرياض,200,940000,2022-01-31
فيلا للبيع في شارع ابي عبدالله الصقلي ، حي عكاظ ، الرياض ، الرياض,240,1070000,2022-01-31
فيلا للبيع في شارع خليل طيبه ، حي طويق ، الرياض ، الرياض,375,1600000,unknown
فيلا للبيع في حي العارض ، الرياض ، الرياض,216,2200000,2022-01-24
فيلا للبيع في شارع الذهبي ، حي طويق ، الرياض ، الرياض,300,1180000,2022-01-10
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,360,1100000,2022-01-31
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,324,2600000,2022-01-31
فيلا للبيع في حي ، شارع عبدالله الخزرجي ، حي العارض ، الرياض ، الرياض,200,1900000,2022-01-31
فيلا للبيع في شارع البلقاء ، حي الرمال ، الرياض ، الرياض,360,1800000,unknown
فيلا للبيع في شارع المعمورة ، حي الحزم ، الرياض ، الرياض,281,1150000,2022-01-31
فيلا للبيع في شارع الاقتصاد ، حي الدار البيضاء ، الرياض ، الرياض,275,1150000,unknown
فيلا للبيع في شارع الشكرة ، حي البديعة ، الرياض ، الرياض,119,280000,unknown
فيلا للبيع في شارع العشيره ، حي طويق ، الرياض ، الرياض,200,1100000,2022-01-31
فيلا للبيع في حي النرجس ، الرياض ، الرياض,390,2900000,unknown
فيلا للبيع في حي بدر ، الرياض ، الرياض,225,830000,2022-01-24
فيلا للبيع في شارع نبيه الانصاري ، حي العارض ، الرياض ، الرياض,400,3200000,unknown
فيلا للبيع في شارع محمد علي علان ، حي العارض ، الرياض ، الرياض,250,2300000,2022-01-31
فيلا للبيع في شارع المغزل ، حي الحزم ، الرياض ، الرياض,360,1500000,2022-01-31
فيلا للبيع في شارع الطيب اليوسف ، حي طويق ، الرياض ، الرياض,440,1300000,2022-01-31
فيلا للبيع في شارع اسعد بن احمد دهان ، حي الرمال ، الرياض ، الرياض,281,1300000,2022-01-31
فيلا للبيع في شارع حمدان بن ذي النون ، حي الرمال ، الرياض ، الرياض,300,1680000,unknown
فيلا للبيع في شارع الضوء ، حي الرمال ، الرياض ، الرياض,330,1450000,2022-01-31
فيلا للبيع في حي ، شارع ريحانه بنت زيد ، حي العارض ، الرياض ، الرياض,312,2700000,2022-01-31
فيلا للبيع في شارع عبدالله بن ابيه ، حي طويق ، الرياض ، الرياض,360,1450000,2022-01-31
فيلا للبيع في شارع محيي الدين البغوي ، حي طويق ، الرياض ، الرياض,375,1600000,2022-01-31
فيلا للبيع في شارع يحيى العصامي ، حي طويق ، الرياض ، الرياض,300,1250000,unknown
فيلا للبيع في شارع الظهرية ، حي اشبيلية ، الرياض ، الرياض,300,1900000,2022-01-31
فيلا للبيع في حي الرمال ، الرياض ، الرياض,300,1300000,2022-01-31
فيلا للبيع في شارع رقم 360 ، حي الملقا ، الرياض ، الرياض,455,5400000,2022-01-31
فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,240,860000,2022-01-24
فيلا للبيع في شارع عبدالخالق بن منصور ، حي الرمال ، الرياض ، الرياض,585,3600000,unknown
فيلا للبيع في شارع محمد بن القزاز ، حي الجنادرية ، الرياض ، الرياض,300,1350000,unknown
فيلا للبيع في شارع السويدي العام ، حي سلطانة ، الرياض ، الرياض,250,1000000,unknown
فيلا للبيع في شارع عبدالرحمن الداخل ، حي طويق ، الرياض ، الرياض,200,970000,2022-01-10
فيلا للبيع في الرياض ، حي بدر ، الرياض,225,920000,2022-01-31
فيلا للبيع في شارع الدومات ، حي طويق ، الرياض ، الرياض,200,950000,unknown
فيلا للبيع في شارع عبدالرحمن الشعلان ، حي العارض ، الرياض ، الرياض,360,2800000,unknown
